ID,NAME,PRODUCTCODE,DESCRIPTION,QUANTITYSCHEDULETYPE,QUANTITYINSTALLMENTPERIOD,NUMBEROFQUANTITYINSTALLMENTS,REVENUESCHEDULETYPE,REVENUEINSTALLMENTPERIOD,NUMBEROFREVENUEINSTALLMENTS,ISACTIVE,CREATEDDATE,CREATEDBYID,LASTMODIFIEDDATE,LASTMODIFIEDBYID,SYSTEMMODSTAMP,FAMILY,CURRENCYISOCODE,RECORDTYPEID,EXTERNALDATASOURCEID,EXTERNALID,DISPLAYURL,QUANTITYUNITOFMEASURE,ISDELETED,LASTVIEWEDDATE,LASTREFERENCEDDATE,CATEGORY__C,DISPLAY_NAME__C,STARTING_PRICE__C,ENTITLEMENT_TYPE__C,MSRP__C,PP_BUTTON_ID__C,SCALE__C,DATES_ARE_REQUIRED__C,PRODUCT_GROUP__C,REVENUE_TYPE__C,SALESLOGIX_ID__C,SERVICE_TYPE__C,STATUS__C,SUPPORT_POINTS__C,TOUCHPAPER_IMPORT__C,SAPPRODUCTNUMBER__C,SAP_MATERIAL_DESCRIPTION__C,SAP_PRODUCT_HIERARCHY__C,ASSOCIATED_LICENSE__C,TYPE__C,UNIT__C,DATESREQUIRED__C,DATALOADER_EXTID__C,PRODUCT_ID__C,VERSION_REQUIRED__C,SAP_TYPE__C,SUPPORTPOINTSTYPE__C,BIGMACHINES__PART_NUMBER__C,WAVELINK_PRODUCT__C,BOARD_FAMILY__C,STATUS_ON_PRICE_BOOKS__C,IS_THIRD_PARTY__C,PRODUCT_DELIVERED_BY__C,RENEWABLE__C,SAP_PRODUCT_HIERARCHY_NUMBER__C,NEEDS_ENTITLEMENT__C,CHILD_2__C,CHILD_3__C,COMPONENTS__C,DELIVERY_TARGET__C,FED_GOV__C,HISTORICAL_ID__C,IS_KIT__C,MAINTENANCE_TYPE__C,MONTHS__C,PARENT_KIT__C,PREFERREDSKU__C,PRIORITY_SKU__C,PRODUCT_LINE__C,PRODUCT_TERM__C,QUANTITY_TYPE__C,RENEWALSKUTYPE__C,SHAVLIK_OLD_PRODUCT_CLASS__C,VMWARE_SKU__C,IS_THIRD_PARTY_PRODUCT__C,IS_CLOUD__C,SERVICE_DAYS_PER_UNIT__C,EXEMPT_FROM_PRORATING__C,PRODUCT_TERM_AS_NUMBER__C,RENEWAL_ONLY_SKU__C,SAP_DIVISION__C,TRAINING_SEATS__C,EDUCATION_DISCOUNT_ELIGIBLE__C,EXCLUDE_FROM_QUOTE_TOOL__C,GOVERNMENT_DISCOUNT_ELIGIBLE__C,PRICE_FLOOR__C,RESELLER_DISCOUNT_ELIGIBLE__C,REVENUE_APPROVAL_REQUIRED__C,TUMSUM__C,VERSION__C,FAVORITES_GEOGRAPHY__C,PRICE_INCLUDES_TRAVEL__C,THIRD_PARTY_ENTITLEMENT_OVERRIDE__C,SEARCH_TERMS__C,PRODUCT_NAME_FOR_OUTPUT__C,PRODUCT_LINE_BUSINESS_PLANNING__C,PLATFORM__C,HISTORICAL_ORIGIN__C,CASE_SAFE_ID__C,NO_PRICEBOOKENTRY__C,ECCN__C,BOARD_FAMILY_TEXT_FIELD__C,PRICEBASEDSP__C,SUPPORT_POINTS_2__C,PRORATE_FIRST_YEAR_BOOKING__C,RENEWAL_VOLUME_ONLY_SKU__C,ASSOCIATED_LICENSE_NOT_REQUIRED__C,RENEWALS_APPROVAL_REQUIRED__C,POWERED_BY__C,AVAILABLE_FOR_EVAL__C,EVAL_QUANTITY__C,EVAL_DAYS__C,HISTORIC_RES_FAMILY__C,MINIMUM_QUANTITY__C,NEW_QUOTES_PROHIBITED__C,COUNTRY_DISCOUNT_ELIGIBLE__C,MAX_SPECIAL_DISCOUNT__C,SPECIAL_DISCOUNT_ELIGIBLE__C,UNIFIED_IT_SEGMENT__C
01t30000002FYSnAAO,AMX5000,AMX5000-xxx,"8 output and 32 input port, rack mountable matrix switch with rack mount kit and AMWorks® Java-based system administration tool (software)",,,,,,,0,2010-10-16 04:43:20.000,0053000000429iAAAQ,2017-05-19 23:20:26.000,005a0000007zoLxAAI,2017-05-19 23:20:26.000,Other,USD,01230000000ZUr8AAG,,,,,0,,,,,,,,,,0,Analog,,,,Active,,,,,,,,,False,01t20000000u0LeAAI,01t30000002FYSnAAO,0,,,,0,Other,,FALSE,,1,,0,,,,,0,,0,,,,,0,,,,,,,0,0,,0,12,0,,,0,0,0,,0,0,0,,,0,0,,,UEM,,,01t30000002FYSnAAO,0,,Other,,0,0,0,0,0,,0,,,,,,,,,
01t30000002FYSoAAO,ACS32 DAC,ATP0150-xxx,ALTERPATH ACS32 DA,,,,,,,0,2010-10-16 04:43:20.000,0053000000429iAAAQ,2017-05-19 23:20:15.000,005a0000007zoLxAAI,2017-05-19 23:20:15.000,Management Suite,USD,01230000000ZUr8AAG,,,,,0,,,,,,,,,,0,Cyclades,,,,EOL,,,,,,,,,False,01t20000000u0LfAAI,01t30000002FYSoAAO,0,,,,0,Systems,,FALSE,,1,,0,,,,,0,,0,,,,,0,,,,,,,0,0,,0,12,0,80,,0,0,0,,0,0,0,,,0,0,,,Other,,,01t30000002FYSoAAO,0,,Systems,,0,0,0,0,0,LANDESK,0,,,,,,,,,
01t30000002FYSpAAO,ACS32 DDC,ATP0155,ALTERPATH ACS32 DDC - Duplicate,,,,,,,0,2010-10-16 04:43:20.000,0053000000429iAAAQ,2017-05-19 23:20:15.000,005a0000007zoLxAAI,2017-05-19 23:20:15.000,Management Suite,USD,01230000000ZUr8AAG,,,,,0,,,,,,,,,,0,Cyclades,,,,EOL,,,,,,,,,False,01t20000000u0LgAAI,01t30000002FYSpAAO,0,,,,0,Systems,,FALSE,,1,,0,,,,,0,,0,,,,,0,,,,,,,0,0,,0,12,0,80,,0,0,0,,0,0,0,,,0,0,,,Other,,,01t30000002FYSpAAO,0,,Systems,,0,0,0,0,0,LANDESK,0,,,,,,,,,
01t30000002FYSqAAO,ACS4 SAC,ATP0170-xxx,ALTERPATH ACS4 SAC - Cyclades ACS4 Single Power Supply AC,,,,,,,0,2010-10-16 04:43:20.000,0053000000429iAAAQ,2017-05-19 23:20:21.000,005a0000007zoLxAAI,2017-05-19 23:20:21.000,Management Suite,USD,01230000000ZUr8AAG,,,,,0,,,,,,,,,,0,Cyclades,,,,EOL,,,,,,,,,False,01t20000000u0LhAAI,01t30000002FYSqAAO,0,,,,0,Systems,,FALSE,,1,,0,,,,,0,,0,,,,,0,,,,,,,0,0,,0,12,0,80,,0,0,0,,0,0,0,,,0,0,,,Other,,,01t30000002FYSqAAO,0,,Systems,,0,0,0,0,0,LANDESK,0,,,,,,,,,
01t30000002FYSrAAO,AMX5010,AMX5010-xxx,"16 output and 64 input port, rack mountable matrix switch with rack mount kit and AMWorks software",,,,,,,0,2010-10-16 04:43:20.000,0053000000429iAAAQ,2017-05-19 23:20:26.000,005a0000007zoLxAAI,2017-05-19 23:20:26.000,Other,USD,01230000000ZUr8AAG,,,,,0,,,,,,,,,,0,Analog,,,,Active,,,,,,,,,False,01t20000000u0LiAAI,01t30000002FYSrAAO,0,,,,0,Other,,FALSE,,1,,0,,,,,0,,0,,,,,0,,,,,,,0,0,,0,12,0,,,0,0,0,,0,0,0,,,0,0,,,UEM,,,01t30000002FYSrAAO,0,,Other,,0,0,0,0,0,,0,,,,,,,,,
01t30000002FYSsAAO,AMX5020,AMX5020-xxx,"4 output and 42 input port, rack mountable matrix switch with rack mount kit and AMWorks software",,,,,,,0,2010-10-16 04:43:20.000,0053000000429iAAAQ,2017-05-19 23:20:26.000,005a0000007zoLxAAI,2017-05-19 23:20:26.000,Other,USD,01230000000ZUr8AAG,,,,,0,,,,,,,,,,0,Analog,,,,Active,,,,,,,,,False,01t20000000u0LjAAI,01t30000002FYSsAAO,0,,,,0,Other,,FALSE,,1,,0,,,,,0,,0,,,,,0,,,,,,,0,0,,0,12,0,,,0,0,0,,0,0,0,,,0,0,,,UEM,,,01t30000002FYSsAAO,0,,Other,,0,0,0,0,0,,0,,,,,,,,,
01t30000002FYStAAO,AMX5111,AMX5111-xxx,PS/2 & USB desktop user station w/ AMIQ-PS2 module for a local PC connection,,,,,,,0,2010-10-16 04:43:20.000,0053000000429iAAAQ,2017-05-19 23:20:26.000,005a0000007zoLxAAI,2017-05-19 23:20:26.000,Other,USD,01230000000ZUr8AAG,,,,,0,,,,,,,,,,0,Analog,,,,Active,,,,,,,,,False,01t20000000u0LkAAI,01t30000002FYStAAO,0,,,,0,Other,,FALSE,,1,,0,,,,,0,,0,,,,,0,,,,,,,0,0,,0,12,0,,,0,0,0,,0,0,0,,,0,0,,,UEM,,,01t30000002FYStAAO,0,,Other,,0,0,0,0,0,,0,,,,,,,,,
01t30000002FYSuAAO,AMX5121,AMX5121-xxx,PS/2 & USB desktop user station w/ automatic skew compensation & AMIQ-PS2 module for a local PC connection,,,,,,,0,2010-10-16 04:43:20.000,0053000000429iAAAQ,2017-05-19 23:20:26.000,005a0000007zoLxAAI,2017-05-19 23:20:26.000,Other,USD,01230000000ZUr8AAG,,,,,0,,,,,,,,,,0,Analog,,,,Active,,,,,,,,,False,01t20000000u0LlAAI,01t30000002FYSuAAO,0,,,,0,Other,,FALSE,,1,,0,,,,,0,,0,,,,,0,,,,,,,0,0,,0,12,0,,,0,0,0,,0,0,0,,,0,0,,,UEM,,,01t30000002FYSuAAO,0,,Other,,0,0,0,0,0,,0,,,,,,,,,
01t30000002FYSvAAO,DSV3-AVP8,DSV3-AVP8,DSView 3 3rd  party 8-port digital KVM switch license*,,,,,,,0,2010-10-16 04:43:20.000,0053000000429iAAAQ,2017-05-19 23:20:58.000,005a0000007zoLxAAI,2017-05-19 23:20:58.000,Other,USD,01230000000ZUr8AAG,,,,,0,,,,,,,,,,0,License,,,,Active,,,,,,,,,False,01t20000000u0RRAAY,01t30000002FYSvAAO,0,,,,0,Other,,FALSE,,1,,0,,,,,0,,0,,,,,0,,,,,,,0,0,,0,12,0,,,0,0,0,,0,0,0,,,0,0,,,UEM,,,01t30000002FYSvAAO,0,,Other,,0,0,0,0,0,,0,,,,,,,,,
01t30000002FYSwAAO,DSV3-AVP32,DSV3-AVP32,DSView 3 3rd  party 32-port digital KVM switch license*,,,,,,,0,2010-10-16 04:43:20.000,0053000000429iAAAQ,2017-05-19 23:20:58.000,005a0000007zoLxAAI,2017-05-19 23:20:58.000,Other,USD,01230000000ZUr8AAG,,,,,0,,,,,,,,,,0,License,,,,Active,,,,,,,,,False,01t20000000u0RSAAY,01t30000002FYSwAAO,0,,,,0,Other,,FALSE,,1,,0,,,,,0,,0,,,,,0,,,,,,,0,0,,0,12,0,,,0,0,0,,0,0,0,,,0,0,,,UEM,,,01t30000002FYSwAAO,0,,Other,,0,0,0,0,0,,0,,,,,,,,,
