New_Deal_Count,Product_Family,Product_Code,Product_Name
2,Admin Studio,ADMN-PRO,Admin Studio Prof. Edition
7,Admin Studio,ADMN-STD,Admin Studio Standard Edition
1,Anti Virus,LDAV-BD-L,"Ivanti Antivirus Manager 2017 License - Add-on to Ivanti MS, IvantiSS, or IvantiPM , Powered by LANDESK"
496,Anti Virus,LDAV-L,"Ivanti Antivirus Manager-License Add-on to Ivanti MS, IvantiSS, or IvantiPM, powered by Landesk"
3,Anti Virus,LDAVMS-SUB,LANDesk® Antivirus Mail Server-Subscription
1360,Anti Virus,LDAV-S,"Ivanti Antivirus Manager - Add-on to Ivanti MS or IvantiSS, powered by Landesk"
36,Anti Virus,LDAV-S-MSP,"Ivanti Anti-Virus Monthly MSP, powered by Landesk"
9,Anti Virus,LDAV-S-PROMO,LANDESK ANTI-VIRUS SUBSCRIPTION PROMO
2,Application Manager,AC LIC 00 SVR,Ivanti Application Control - Server (not XenApp/RDSH) License
510,Application Manager,AM LIC 00 F,"Ivanti Application Control - Named User License, powered by AppSense"
25,Application Manager,AM LIC 00 P,Application Manager - Single Platform-Named user licence- Named User
241,Application Manager,AM LIC 00 T,Application Manager - User License - Terminal Server
241,Application Manager,AM LIC 00 T,"Ivanti Application Control - Concurrent User License, powered by AppSense"
1,Application Manager,AM SUB 12 T,"Ivanti Application Control Subscription - Concurrent User License – 1 Year, powered by AppSense"
1,Application Manager,S-AM-L,"Ivanti Application Manager for Microsoft System Center License, powered by AppSense"
21,Application Manager,URM LIC 00 F,"Ivanti Application Control URM Edition - Named User License, powered by AppSense"
243,Application Virtualization,LDAPV-L,LANDesk Application Virtualisation
243,Application Virtualization,LDAPV-L,"Application Virtualization, powered by Landesk"
1,Application Virtualization,LDAPV-L-SA,"Ivanti Application Virtualization-Stand Alone, powered by Landesk"
126,Asset Manager,LDALMC-L,"Ivanti Asset Lifecycle Manager Console, powered by Landesk"
130,Asset Manager,LDALMS-L,"Ivanti Asset Lifecycle Manager Server, powered by Landesk"
11,Asset Manager,LDALMSPMA-M,"Ivanti Asset Lifecycle Manager Server Maintenance, powered by Landesk"
2,Asset Manager,LD-AMIAT-S,"AMI Asset Track Annual Subscription, powered by AppSense"
254,Asset Manager,LDAM-L,LANDesk Asset Manager
127,Asset Manager,LDAM-L,"Ivanti Asset Manager, powered by Landesk"
1,Bufferzone,LD-BZ-EP-L,Bz Endpoint License
1,Classroom Manager,LDCRM-L-EDCLS,LANDesk Classroom Manager-Education Single Classroom less than 10 nodes
22,DataNow,DD UPG DS F,"Ivanti User Workspace Manager - Named User Upgrade License, from DesktopNow, powered by AppSense"
91,DataNow,DN GSP 01 H,"Ivanti File Director Hosted - 1 Month Subscription License, powered by AppSense"
139,DataNow,DN GSP 12 EN,DataNow Enterprise
139,DataNow,DN GSP 12 EN,"Ivanti File Director Subscription 12 Month, powered by AppSense"
8,DataNow,DN GSP 12 ES,DataNow Essentials
1,DataNow,DN GSP 24 EN,"Ivanti File Director Subscription 24 Month, powered by AppSense"
6,DataNow,DN GSP 36 EN,"Ivanti File Director Subscription 36 Month, powered by AppSense"
182,DataNow,DN LIC 00 P,"Ivanti File Director - Named User License, powered by AppSense"
10,DataNow,DTN GSP 12 ES,DataNow Essentials
2,Deposit - LDMS,OEM-LDROYALTY,JSI OEM Royalty
87,DesktopNow,DD LIC 00 F,"Ivanti User Workspace Manager - Named User License, powered by AppSense"
3,DesktopNow,DD LIC 00 T,"Ivanti DesktopNow Plus - Concurrent User License - Flexible Platform, powered by AppSense"
5,DesktopNow,DD POD 14 F,"Promotional DesktopNow Plus Upgrade License, from DesktopNow"
1,DesktopNow,DD UPG AM F,"Ivanti User Workspace Manager - Named User Upgrade License, from Application Manager, powered by AppSense"
4,DesktopNow,DD UPG EM F,"Ivanti User Workspace Manager - Named User Upgrade License, from Enviroment Manager, powered by AppSense"
10,DesktopNow,DPE LIC 00 P,DesktopNow PC Edition (Promo) - Named User License - Single Platform
268,DesktopNow,DSK GSP 01 H,"Ivanti DesktopNow Hosted - 1 Month Subscription License, powered by AppSense"
11,DesktopNow,DSK GSP 12 H,DesktopNow Hosted - 12 Month Subscription License
1277,DesktopNow,DSK LIC 00 F,"Ivanti DesktopNow - Named User License, powered by AppSense"
42,DesktopNow,DSK LIC 00 P,DesktopNow - Single Platform-Named user License- Per User
432,DesktopNow,DSK LIC 00 T,DesktopNow - User License -Terminal Server
