,Customer_Name,Similar_Name
0, interceramic,interceramic
1, oao bank petrocommerz,oao bank petrocommerz
2,???(??)??????faurecia (china),"???(??)??????faurecia (china) holding co., ltd."
3,3e company,insurance services office - 3e company
4,3f inc,immobiliere 3f
5,3m,3m company
6,3m company,3m
7,a p clayton,a p clayton
8,a p clayton,a p clayton
9,a-katsastus,a-katsastus oy
10,a-katsastus,a-katsastus oy - helsinki
11,a-katsastus oy,a-katsastus
12,a-katsastus oy,a-katsastus oy - helsinki
13,aabo bv,aabo trading company bv
14,aaron & partners,aaron and partners
15,aaron and partners,aaron & partners
16,abbey international,the abbey company
17,abbott india ltd,abbott india ltd
18,abbott india ltd,abbott india ltd
19,abp ireland,abp systems
20,abp systems,abp ireland
21,acc ict,acc ict location nieuwegein
22,access business,access business technologies llc
23,access business,access health services
24,access northeast,northeast bank
25,accretive solutions,"accretive health, inc."
26,achmea,syntrus achmea vastgoed b.v.
27,acl,acl laboratories
28,acl laboratories,acl
29,acm,acm parts
30,acm,acm vastgoed management
31,acm parts,acm
32,aconex (uk) limited,aconex (uk) limited
33,aconex (uk) limited,aconex (uk) limited
34,acora,acora msp
35,acora msp,acora
36,acs technologies,acs solutions gmbh
37,adams community,adams bank & trust
38,adams community,adams county
39,adams community,adams county it
40,adams community,adams state university
41,adams county,adams bank & trust
42,adams county,adams community
43,adams county,adams county it
44,adams county,adams county school district #14
45,adams county,adams state university
46,adecco belgium,adecco uk ltd
47,adelante,adelante zorggroep
48,adelante zorggroep,adelante
49,adrea,adrea csp
50,adrea csp,adrea
51,advanced management,advanced medical management
52,advanstar communications,advanstar communications inc
53,advanstar communications inc,advanstar communications
54,adventist health,sydney adventist hospital
55,aecom,aecom technical services inc.
56,aecom,aecom technology corporation
57,aelia,lagardere travel retail – aelia
58,aerotech,aerotech czech s.r.o.
59,aerotech,aerotech peissenberg gmbh
60,aes corporation,aes europe services
61,aes corporation,the aes corporation
62,agence nationale,agence nationale des ports
63,aig (chartis),aig (chartis) insurance
64,aig (chartis) insurance,aig (chartis)
65,aim bank,aim infrarot-module gmbh
66,aim bank,aim specialty health
67,airasia berhad,airasia berhad
68,airasia berhad,airasia berhad
69,akka services,akka technologies(services)
70,akka technologies(services),akka services
71,akron general,the university of akron
72,alexander dennis,alexander dennis ltd
73,alexander dennis ltd,alexander dennis
74,allan gray,allan gray ltd
75,allan gray ltd,allan gray
76,allen & overy,allen & overy llp
77,alliance medical,the alliance
78,alliant energy,alliant credit union
79,alliant energy,alliant health solutions
80,alliant energy,alliant insurance
81,alliant insurance,alliant credit union
82,alliant insurance,alliant energy
83,alliant insurance,alliant health solutions
84,alliant insurance,"alliant insurance services, inc."
85,allianz global investors,allianz global investors gmbh
86,allied barton,allied barton security services
87,allied healthcare,allied healthcare federal credit union
88,allied healthcare,allied solutions
89,allied healthcare,allied systems company
90,allied solutions,allied healthcare
91,allied solutions,allied systems company
92,alma,alma consulting group
93,almarai,almarai company
94,almarai company,almarai
95,almere college,gemeente almere
96,almere college,zorggroep almere
97,alno ag,"alno ag ""mdm"""
98,alpha bank,alpha bank bulgaria
99,alpha bank,alpha credit
100,alpha bank,alpha simplex
101,alpha credit,alpha bank
102,alpha simplex,alpha bank
103,alpine investors,investors group
104,alps fcu,ibm alps
105,alston & bird,alston & bird llp
106,alten france,alten technology gmbh
107,altran,altran sverige
108,altran sverige,altran
109,amalgamated bank,amalgamated bank of chicago
110,amano corporation,amano software engineering
111,amber computing,amber valley
112,amber valley,amber computing
113,amdocs inc,amdocs inc a/p
114,amdocs inc,amdocs israel limited
115,amdocs inc,amdocs software systems ltd
116,ameren,ameren corporation
117,ameren corporation,ameren
118,american bank,american bank & trust
119,american bank,american bank - pa
120,american bank,american city bank
121,american bank,american college
122,american bank,american national bank
123,american bank,american patriot bank
124,american bank,american university
125,american bank,first american bank
126,american college,american bank
127,american college,american career college
128,american college,american college of cardiology
129,american express,american express arizona
130,american express,american express publishing
131,american express,financial express
132,american fidelity,american fidelity assurance
133,american fidelity,american fidelity life insuran
134,american fidelity,fidelity communications
135,american fidelity,fidelity information services
136,american university,american bank
137,american university,american university of kuwait
138,amerigas,amerigas propane
139,amerigas propane,amerigas
140,amey plc,amey community limited
141,amey plc,amey group information services
142,amicus horizon,horizon bank
143,amundi,amundi hong kong ltd.
144,amundi,amundi it services
145,amundi,amundi smith breeden llc
146,aon corporation,aon limited
147,aon limited,aon corporation
148,apple inc,city of apple valley
149,applied materials,county materials
150,applied systems,applied card systems of
151,applied systems,bae systems applied intelligence
152,apria rsa,apria rsa dsi pilotage et gestion
153,aptos - liberty,aptos liberty
154,aptos halfords,halfords
155,aptos liberty,aptos - liberty
156,aptos liberty,aptos m & co
157,aramco services,aramco services company
158,arc international,northeast arc
159,arcadia group,arcadia university
160,arcadia university,arcadia group
161,arcus technology,arcus it group
162,ariel re,ariel re bda limited
163,arlington isd,city of arlington
164,arsenal football club,arsenal football club plc
165,artesyn technologies,artesyn embedded technologies
166,artisan partners,artisan partners lp
167,aryzta australia,aryzta australia pty ltd
168,as watson,watson furniture
169,ascend,ascend learning
170,ascend,brooklyn ascend charter school
171,ascend learning,ascend
172,asr corporation,asr health benefits corporation
173,assystem france,assystem gmbh
174,assystem gmbh,assystem france
175,asta,asta management services ltd
176,astoria bank,astoria federal savings
177,atb technologies,atb technologies llc
178,atb technologies llc,atb technologies
179,atea a/s,atea a/s - dnk
180,athene,athene annuity & life co
181,atlanticare,atlanticare health system
182,atlas reo services,atlas reo services inc
183,atos infogerance,atos orgin infogerance
184,ats automation,ats automation tooling systems
185,auckland council,auckland international airport
186,austin energy,city of austin
187,auto club group,the auto club group
188,auto trader,auto trader limited
189,auto trader limited,auto trader
190,avantium technologies,avantium support b.v.
191,avera ecare,avera health
192,avera health,avera ecare
193,avesis,guardian life insurance company of america - avesis
194,aviall,aviall services inc
195,avis budget emea,avis budget emea ltd
196,awe network,awe plc
197,awe plc,awe network
198,axians,axians it ab (qbranch)
199,axians,axians it ab (qbranch)
200,axians,axians it solutions gmbh
201,axiom bank,axiom housing association
202,axon,axon cable
203,axon cable,axon
204,azienda ospedaliera,azienda ospedaliera di padova
205,azienda ospedaliera,azienda ospedaliera ospedali
206,babcock communications,babcock international
207,babcock international,babcock communications
208,bae systems,bae systems (uk)
209,bae systems,bae systems - saudi arabia
210,bae systems,bae systems applied intelligence
211,bae systems,bae systems australia
