,Customer_Name,Similar_Name
0,a-katsastus,a-katsastus oy
1,acm,acm
2,american express,american express
3,amundi,amundi
4,amundi,amundi
5,amundi,amundi
6,axians,axians
7,baxter ag,baxter ag
8,bcd travel,bcd travel
9,bitdefender srl,bitdefender srl
10,bnp paribas,bnp paribas
11,bnp paribas,bnp paribas
12,bnp paribas,bnp paribas
13,canada life,canada life
14,capgemini,capgemini
15,capgemini,capgemini america
16,capgemini,capgemini america
17,capita,capita customer management
18,capita,capita it services
19,capita,capita group plc
20,carlson wagonlit,carlson wagonlit
21,carlson wagonlit,carlson wagonlit
22,carlson wagonlit,carlson wagonlit
23,cellent,cellent ag
24,centro,centro
25,cms,cms
26,cms,cms
27,cms,cms
28,cobham,cobham
29,commerzbank ag,commerzbank ag
30,computer sciences,computer sciences
31,coop,coop
32,cosco,cosco
33,crane co.,crane co.
34,crown equipment,crown equipment
35,crown equipment,crown equipment
36,crown equipment,crown equipment
37,csc,csc
38,csc,csc
39,csc,csc australia
40,csc,csc australia
41,csc,csc computer sciences
42,csc,csc
43,csc,csc australia
44,csc,csc australia
45,csc,csc computer sciences
46,csc,csc australia
47,csc,csc australia
48,csc,csc computer sciences
49,csl behring,csl behring
50,dell,dell
51,dexia,dexia
52,direct energy,direct energy
53,disa,disa
54,dts,dts
55,dxc technology,dxc technology
56,emdeon,emdeon corp
57,enmax,enmax corporation
58,entra asbl,entra asbl
59,eriks,eriks
60,evry,evry ab
61,fis,fis
62,fujitsu,fujitsu
63,fujitsu,fujitsu
64,fujitsu,fujitsu australia
65,fujitsu,fujitsu services
66,fujitsu,fujitsu
67,fujitsu,fujitsu australia
68,fujitsu,fujitsu services
69,fujitsu,fujitsu australia
70,fujitsu,fujitsu services
71,g4s,g4s
72,generali,generali china
73,generali,generali
74,generali,generali china
75,generali,generali
76,generali china,generali china
77,generali,generali china
78,generali,generali
79,geodis,geodis
80,heatcraft,heatcraft
81,hikari tsushin,hikari tsushin
82,honda mpe,honda mpe
83,hongyunhonghe,"hongyunhonghe tobacco(group)co.,ltd"
84,hp,hp
85,hp,hp enterprise services
86,hp,hp enterprise services
87,hp,hp inc
88,hp,hp enterprise services
89,hp,hp enterprise services
90,hp,hp inc
91,ing,ing bank
92,ing,ing
93,ing,ing belgium
94,ing,ing
95,ing,ing
96,ing,ing bank
97,ing,ing belgium
98,ing,ing
99,ing,ing
100,ing,ing bank
101,ing,ing
102,ing,ing bank
103,ing,ing bank
104,insearch,insearch
105,iron mountain,iron mountain
106,iron mountain,iron mountain
107,iron mountain,iron mountain
108,jet aviation,jet aviation
109,"kanro co.,ltd.","kanro co.,ltd."
110,klinikum,klinikum memmingen
111,kpmg,kpmg
112,kpmg,kpmg
113,kpmg,kpmg ag
114,kpmg,kpmg llp
115,kpmg,kpmg ag
116,kpmg,kpmg llp
117,kpmg,kpmg
118,kpmg,kpmg ag
119,kpmg,kpmg llp
120,kpmg,kpmg ag
121,kpmg,kpmg llp
122,kpmg,kpmg ag
123,kpmg,kpmg llp
124,kpmg,kpmg ag
125,kpmg,kpmg llp
126,kpmg ag,kpmg ag
127,kuiken,kuiken n.v.
128,lafarge,lafarge
129,lafarge,lafarge
130,lafarge,lafarge tarmac
131,lafarge,lafarge
132,lafarge,lafarge tarmac
133,lafarge,lafarge tarmac
134,leidos,leidos
135,leidos,leidos australia
136,leidos,leidos
137,leidos,leidos australia
138,leidos,leidos healthcare
139,leidos,leidos australia
140,leidos,leidos
141,leidos,leidos australia
142,leidos,leidos healthcare
143,leidos,leidos australia
144,leidos,leidos healthcare
145,lifespan,lifespan corp
146,lilly,lilly
147,mantech,mantech international
148,mapfre,mapfre argentina
149,mapfre,mapfre
150,mapfre,mapfre argentina
151,mapfre,mapfre bhd
152,mapfre,mapfre bhd
153,mapfre,mapfre brazil
154,mapfre,mapfre brazil
155,mapfre,mapfre chile
156,mapfre,mapfre chile
157,mapfre,mapfre colombia
158,mapfre,mapfre colombia
159,mapfre,mapfre
160,mapfre,mapfre paraguay
161,mapfre,mapfre paraguay
162,mapfre,mapfre peru
163,mapfre,mapfre peru
164,mapfre,mapfre tepeyac
165,mapfre,mapfre tepeyac
166,mapfre,mapfre argentina
167,mapfre,mapfre bhd
168,mapfre,mapfre bhd
169,mapfre,mapfre brazil
170,mapfre,mapfre brazil
171,mapfre,mapfre chile
172,mapfre,mapfre chile
173,mapfre,mapfre colombia
174,mapfre,mapfre colombia
175,mapfre,mapfre
176,mapfre,mapfre paraguay
177,mapfre,mapfre paraguay
178,mapfre,mapfre peru
179,mapfre,mapfre peru
180,mapfre,mapfre tepeyac
181,mapfre,mapfre tepeyac
182,mapfre,mapfre paraguay
183,mapfre,mapfre paraguay
184,mapfre,mapfre peru
185,mapfre,mapfre peru
186,mapfre,mapfre tepeyac
187,mapfre,mapfre tepeyac
188,market metrics,market metrics
189,matrix42 ag,matrix42 ag
190,mazars,mazars france
191,mbda,mbda france
192,mckesson,mckesson
193,mckesson,mckesson canada
194,mckesson,mckesson canada
195,mediq,mediq b.v.
196,merrill lynch,merrill lynch
197,miradore,miradore
198,mitsubishi electric,mitsubishi electric
199,mod,mod corsham
200,murex,murex
201,natixis,natixis
202,northgate arinso,northgate arinso
203,omgeo,omgeo llc
204,optiver,optiver
205,parexel,parexel
206,pricewaterhousecoopers,pricewaterhousecoopers
207,pricewaterhousecoopers,pricewaterhousecoopers
208,pricewaterhousecoopers,pricewaterhousecoopers
209,providence capital,providence capital
210,qinetiq,qinetiq
211,qinetiq,qinetiq australia
212,qinetiq,qinetiq edm
213,qinetiq,qinetiq australia
214,qinetiq,qinetiq edm
215,qliktech,qliktech
216,raymond james,raymond james
217,raytheon,raytheon
218,rexel,rexel uk
219,saic,saic
220,sercel,sercel
221,serco,serco limited
222,siemens ag,siemens ag
223,sita,sita
224,sita,sita inc
225,sita,sita inc
226,ring,ring
227,societe generale,societe generale
228,sodexo,sodexo
229,softronic,softronic
230,sonepar,sonepar
231,sonepar,sonepar distribution
232,sonepar,sonepar nederland
233,sonepar,sonepar distribution
234,sonepar,sonepar nederland
235,stalwart,stalwart
236,stalwart,stalwart systems
237,stalwart,stalwart systems
238,switch,switch
239,t-systems,t-systems
240,t-systems,t-systems international gmbh
241,t-systems,t-systems international gmbh
242,t-systems,t-systems
243,t-systems,t-systems
244,t-systems,t-systems international gmbh
245,t-systems,t-systems international gmbh
246,t-systems,t-systems
247,t-systems,t-systems
248,t-systems,t-systems
249,taby kommun,taby kommun
250,tbwa,tbwa
251,o2,telefonica o2
252,teleperformance,teleperformance germany
253,teleperformance,teleperformance
254,tullett prebon,tullett prebon
255,tyro payments,tyro payments
256,unicef,unicef nederland
257,unicef,unicef
258,veka ag,veka ag
259,villa maria,villa maria
260,vodafone,vodafone
261,vodafone,vodafone group services
262,vodafone,vodafone group services
263,vodafone,vodafone ltd
264,vodafone,vodafone portugal
265,vodafone,vodafone group services
266,vodafone,vodafone group services
267,vodafone,vodafone ltd
268,vodafone,vodafone portugal
269,vwr,vwr
270,wipro limited,wipro limited
271,worldpay,worldpay
272,xerox,xerox
273,yasui kagu,yasui kagu
